:,0
:,1
',0
',1
",0
",1
lm,3,0
lm,3,1
li,5,0
li,5,1
li,4,0
li,4,1
lm,3,0
lm,3,1
ri,6,0
ri,6,1
ri,7,0
ri,7,1
lp,1,0
lp,1,1
rm,8,0
rm,8,1
lp,1,0
lp,1,1
li,4,0
li,4,1
lm,3,0
lm,3,1
rm,8,0
rm,8,1
li,4,0
li,4,1
ri,7,0
ri,7,1
li,5,0
li,5,1
rm,8,0
rm,8,1
li,5,0
li,5,1
rp,[,0
rp,[,1
rm,*,0
rm,*,1
rp,?,0
rp,?,1
lp,~,0
lp,~,1
rp,{,0
rp,{,1
lp,!,0
lp,!,1
rp,-,0
rp,-,1
rp,/,0
rp,/,1
rp,],0
rp,],1
